school_name,school_type,estimated_enrollment,principal,hours,this_school_feeds_into,neighborhood,school_bus,school_meals,school_code,about,before_school_programs,after_school_programs,special_education_programs,school_day_academic_enrichment,arts_enrichment,student_support_programs,address,phone_number,fax_number,website,assistant_principal,school_tour,language_programs,email,other_campuses,uniforms_policy,athletics,transportation
Alamo Elementary School,"Elementary School, K-5",540,Rosa A. Fong,8:40 am-2:40 pm,Presidio Middle School,Richmond,94121,"Breakfast, Lunch",413,"Our arts program is a vital component for creating an equitable environment for all students. Through the arts, students can choose opportunities to discover and develop their unique interests and strengths.",7:45 - 8:15 a.m. Morning Care,"*Enrichment Programs: ceramics, academic chess, Keyboard Educators,  Nagata dance, Nagata hip-hop, Spanish language, GATOR Squad Computer Program, Coding, Afterschool Homework Program.",K-5 SDC Moderate/Severe--Autism Focus,Tutoring in school,SF Ballet for 2nd,Health and wellness center,"250 23rd Avenue, San Francisco, CA, 94121",415-750-8456,415-750-8434,Current Alamo Website,NA,NA,NA,NA,NA,NA,NA,NA
Alice Fong Yu Alternative School (K-8),"Elementary School, K-8 School, Middle School, K-8",600,Liana Szeto,Elementary school (K-5) starts at 9:30 a.m.,NA,Inner Sunset,"94110, 94112, 94115, 94124","Breakfast, Lunch",485,"In order to ensure the success of all students, we provide comprehensive before and after school tutoring as well as during the school day support programs for all students who need additional support. In a K-8 environment, personalization comes naturally. We have a strong care team which meets every week to discuss the progress of all students. Keeping parents informed through a weekly Chinese bilingual parent bulletin is a priority for us. We believe joyful and authentic learning is when students are actively involved in the learning process rather than completing busy work. Our teachers achieve this through lessons that foster exploration and require the students to think critically, apply learned concepts and make connections. In addition to a strong academic program, our students are engaged in many enrichment activities such as ceramic arts, visual arts, perceptual motor skills, creative movements, and dance. Authentic application of the students' knowledge and skills are uniquely presented through projects and opportunities such as the Chinese poetry recital, the middle school Science Fair, and the Cultural Exchange Project, which is the annual trip to China for all 8th graders.",NA,Private nonprofit childcare available on site.,Resource Specialist services,NA,Visual arts,Counselor,"1541 12th Avenue, San Francisco, CA, 94122",415-759-2764,415-242-2507,http://www.afypa.org/,Tara Twedt,We look forward to seeing you on campus!,Cantonese Dual Language Immersion,NA,NA,NA,NA,NA
Alvarado Elementary School,"Early Education, Elementary School, TK-5",535,Sheera Sadja,7:50 am-1:50 pm,James Lick Middle School,Noe Valley,"94124, 94110","Breakfast, Lunch, After School Supper",420,"Social justice is embedded in our curriculum and is promoted through assemblies such as Latino Pride, Gay Pride, Spoken Word, and Women's History. In a safe and fair classroom environment, joyful, students thrive on an engaging, challenging yet accessible curriculum. Our teachers employ a variety of meaningful, authentic strategies and activities that address the variety of learning styles of all students. This is accomplished through the use of our arts program to teach across the curriculum. We keep our promises to students and families when we have an open dialogue among all of the members of the community—communicating needs, responsibilities, and results. We actively embrace the cultures and languages of our families through cultural events and encourage parent volunteers of many languages and cultures.",Breakfast served daily starting at 7:30 a.m.  Fifth grade safety patrol assists with morning drop off.  Morning PE and circle time schoolwide for special celebrations and singing.,"Alvarado After School is one of SFUSD's largest, most comprehensive after school programs in the city, run by GLO.  We offer over 120 scholarships through the Excel program allowing many of our students to attend for free.  We also have a wide range of parent-run clubs including art, sewing, running, computer coding, yearbook, photography, foreign language etc.",Separate class - Moderate/severe for K-5,Technology teacher,NA,NA,"625 Douglass Street, San Francisco, CA, 94114",415-695-5695,415-695-5447,http://alvaradoschool.net,NA,Tuesday at 8 a.m. (sign up online),Spanish Dual Language Immersion,NA,NA,NA,NA,NA
Argonne Elementary School - Extended Year,"Elementary School, K-5",440,Sheree Catingub,8:30 am-2:40 pm,Presidio Middle School,Inner Richmond,NA,"Breakfast, Lunch",435,"The Argonne community shares a strong commitment to ensure each of our children is provided with equal access and support to the highest quality educational opportunities. We are aware that each child's race, ethnicity, special needs and family education will affect his or her school experience. Our students celebrate likenesses and differences in the people who surround them and are proud of their own ethnic and cultural heritage.",NA,"2:40-6:00 p.m. Richmond YMCA, Richmond Neighborhood Center (RNC), Chinese After School Program (CASP)",Separate class - Mild/moderate with autism focus,Technology teacher,"Art in Action, Instrumental Music, SF Ballet",Social worker,"680 18th Avenue, San Francisco, CA, 94121",415-750-8460,415-750-8462,https://argonnesf.org,NA,Please register for tours on the school's website.,NA,sch435@sfusd.edu,NA,NA,NA,NA
Bessie Carmichael School PreK-8 Filipino Education Center (PreK-5 Campus),"Early Education, Elementary School, K-8 School, PreK-8",650,Rasheena Bell,8:40 am-2:40 pm,NA,South of Market,"94130, 94102","Breakfast, Lunch",449,"The MISSION of Bessie Carmichael /FEC Prek-8 School is to raise levels of academic achievement for EVERY student, to address the systemic issues that cause the achievement gap for children (especially children of color and linguistically marginalized children)",NA,"SFUSD Early Education Department Out of School Time Program: PreK only, 7:30 a.m.-5:30 p.m., 415-615-8450.",Resource Specialist services,STEAM (science; technology; engineering; arts; mathematics),"Coding, Visual and Performing Arts (VAPA) teachers, LEAP dance, instrumental music, and rock band",Family liaison,"375 7th Street, San Francisco, CA, 94103",415-615-8441,415-355-7683,NA,Michael Brown,We're happy to show you around—give us a call!,Filipino Foreign Language in Elementary School (FLES) Program,NA,Bessie Carmichael School PreK-8 Filipino Education Center (6-8 Campus),NA,NA,NA
Bret Harte Elementary School,"Early Education, Elementary School, PreK/TK-5",225,Jeremy Hilinski,8:25 am-2:40 pm,Willie L. Brown Jr. Middle SchoolJames Lick Middle School,Bayview,NA,"Breakfast, Lunch, After School Supper",453,Bay Area Discovery Museum,Playworks (starting at 8:00 a.m. from Monday through Friday),"Bret Harte offers the Beacon Afterschool Program at minimal cost to families of students from grades TK to 5. Activities include tutoring and homework help, music, dance, art, and a sports program from 2:40 to 6:00 p.m. We also offer a Bay Area SCORES soccer/writing program.",Bret Harte is committed to providing a full range of special education services to accommodate student IEPs.,Spanish literacy interventionist,Music program,NA,"1035 Gilman Avenue, San Francisco, CA, 94124",415-330-1520,415-330-1555,NA,David Gomez,School tours are by appointment. Please call the school at 415-330-1520 to schedule.,Spanish Dual Language Immersion,sch453@sfusd.edu,NA,"White shirt or blouse; navy blue pants, skirt or jumper; and all-black shoes.",Soccer,NA
Bryant Elementary School,"Early Education, Elementary School, PreK-5",210,Laura Juarez Codicetti,7:50 am-2:05 pm,Everett Middle School,Mission,NA,"Breakfast, Lunch, After School Supper",456,"Our strengths are that we are a community school. We work in partnership to align our resources to best support our students and families. At Bryant, everyone is a learner and everyone has an opportunity to lead. We have systems and structures such as an active CARE team, Mental Health Collaborative Team, extended learning opportunities and small group instruction that supports our response to intervention. We provide children with an inclusive and caring environment in which to learn and have fun.",NA,"Extended Learning: 2:05-5:30 p.m. Programs include tutoring and homework help, music, dance, art and a sports program.",Resource Specialist services,Tutoring in school,"Mariachi, instrumental music",Therapist,"2641 25th Street, San Francisco, CA, 94110",415-695-5780,415-206-0538,NA,Esther Adames,9 a.m. Thursdays from Oct. to Jan. and by appointment,Spanish Biliteracy Program,Sch456@sfusd.edu,NA,"White shirt, navy blue sweater, blue pants or blue skirt/jumper for girls.",NA,NA
Buena Vista Horace Mann K-8 Community School,"Elementary School, K-8 School, Middle School, K-8",620,Claudia Delarios-Moran,"6-8: MTWF 8:15 a.m.-3:45 p.m., Th: 8:15 a.m.-1:45 p.m.",NA,Mission,"94110, 94102","Breakfast, Lunch, After School Supper",618,"We are BVHM, the Mission District's K-8 dual-language Spanish Immersion Community School, and as such we strive to develop strong bilingual and multicultural agents of change that can thrive academically, socially and artistically. Through academically rigorous instruction, technology, and the arts, our educators develop students’ collaborative and critical thinking skills, preparing them for a dynamic world. Inspired by the core values of our community, and supported by an equity-focused and culturally relevant social-emotional curriculum, our children rise to our high expectations and bloom into healthy, competent, and confident learners. Finally, our visionary social justice lens allows students and their families to analyze our current social reality, empowering them to transform our community for the betterment of all.",Jamestown Community Center,"Jamestown Collaborative offers no-cost after school programs through ExCEL, including academic tutoring and enrichment.",Separate class - Mild/moderate for K-5,Technology teacher,"Elementary school: PE, library, computer lab, dance, music, art. Grade 4 and 5 students may take an instrument if they desire. Middle school students get a year-long art class with an option to take an instrument or to opt out in 7th or 8th grade to take peer resources.",Family liaison,"3351 23rd Street, San Francisco, CA, 94110",415-695-5881,415-282-7869,http://www.wearebvhm.com,Gissell Medina,Fridays from October to December at 8:30 a.m. Visit wearebvhm.com for dates and times.,Spanish Dual Language Immersion,sch618@sfusd.edu,NA,NA,Basketball,NA
César Chávez Elementary School,"Early Education, Elementary School, PreK-5",440,Jennifer Freeman,8:40 am-2:55 pm,Everett Middle School,Mission,NA,"Breakfast, Lunch, After School Supper", 603,"We believe that every member of the school community is responsible for every child. There are regular check-ins to this aim. Partnering our efforts with a committed parent community, César Chávez Elementary School, like its namesake, works toward a better future for all our children. We want to listen to the dreams of those we serve on a daily basis.","Jamestown Phoenix Risers - 7:00-8:30 a.m., fee based","Jamestown Beacon program. Partnerships with Boys and Girls Club, Mission Girls and Precita Center.",Separate class - Deaf and hard of hearing (total communication) for TK-5,Mission Science Workshop program,"Fourth and fifth grade: instrumental music, collaboration with community partners such as 826 Valencia and Streetside Stories, mariachi development program",Therapist,"825 Shotwell Street, San Francisco, CA, 94110",415-695-5765,415-695-5843,Current César Chávez Website,Jimmy Lopez,Tours are arranged through the parent liaison or community schools coordinator and held Friday mornings 9:15 - 10:00 a.m. or by appointment. Call the school to make an appointment.,NA,sch603@sfusd.edu,NA,"White shirt/blouse, navy blue pants/skirt/jumper and comfortable shoes.",NA,NA
Chinese Immersion School at De Avila,"Elementary School, K-5",395,Wendy Cheong,8:40 am-2:40 pm,Roosevelt Middle School,Haight Ashbury,NA,"Breakfast, Lunch",509,"Students at the Chinese Immersion School at De Avila dual language immersion program have the unique opportunity to learn Cantonese and English in grades K-5. Our community strives to provide the students with a caring and nurturing environment with a strong focus on the whole child, high achievement, and academic excellence. Our mission is to prepare our students with multilingual skills to become caring and globally responsible citizens in the 21st century.",Buchanan YMCA (7:00 - 8:40 am) Call 415-470-1678 or visit https://www.ymcasf.org/programs/and-after-school-care-buchanan for more information.,Buchanan YMCA (2:40 - 6:00 pm) Call 415-470-1678 or visit https://www.ymcasf.org/programs/and-after-school-care-buchanan for more information.,Resource Specialist services,Technology teacher,"Chinese Immersion School was awarded the Exemplary Arts Award from the California Department of Education. We are proud to provide arts enrichment and integration throughout all grade levels. Some of the arts programs that we provide are: visual arts, ceramics, choral and instrumental music, dance,  drama, shadow puppetry, and SF opera.",NA,"1250 Waller Street, San Francisco, CA, 94117",415-241-6325,415-241-6540,NA,NA,"January 8, 2020",Cantonese Dual Language Immersion,NA,NA,NA,NA,NA
